claim_number,age_of_driver,gender,marital_status,safety_rating,annual_income,high_education,address_change,property_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present,liab_prct,channel,police_report,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,total_claim,injury_claim,policy deductible,annual premium,days open,form defects,fraud reported
5101056,34,M,1,82,16429,0,1,Own,20106,3/20/2023,Monday,Parking Lot,0,1,0,Phone,1,5,Large,20504.51437,black,44689.78043,3431.849274,2000,1136.83,8.164786494,4,Y
5121792,31,F,0,94,84939.2,1,1,Own,85077,3/9/2023,Thursday,Local,1,0,94,Phone,1,4,Medium,21003.68362,gray,22015.10594,5270.906542,2000,1322.78,8.63599319,3,N
5163264,44,M,0,73,60563.2,1,1,Own,50043,12/23/2023,Saturday,Parking Lot,1,1,81,Phone,1,1,Medium,15002.20433,gray,15462.54245,3812.903368,1000,1483.25,8.539403447,2,N
5370624,47,F,1,44,61587.2,1,0,Rent,50002,7/30/2024,Tuesday,Highway,0,0,57,Phone,0,4,Large,14516.1342,white,12701.78418,4627.458464,500,1463.82,7.48828902,7,N
5474304,62,F,0,75,66012.8,0,1,Own,20137,3/1/2023,Wednesday,Local,0,0,28,Phone,1,4,Compact,18719.35593,gray,34051.34729,3011.284525,500,1497.35,9.101195924,5,N
5536512,32,F,0,93,55452.8,1,0,Own,80010,1/23/2023,Monday,Highway,0,0,100,Phone,0,8,Large,15699.24609,other,9448.857968,4130.137132,500,1495.1,7.8403765,3,N
5660928,46,M,0,45,11246,0,1,Own,15025,9/22/2023,Friday,Local,1,1,34,Phone,1,2,Large,25602.20531,other,30860.11818,4499.059204,2000,1338.5,9.64053346,3,Y
5723136,57,M,1,65,14693,1,0,Rent,85007,8/9/2024,Friday,Parking Lot,1,0,64,Phone,1,1,Medium,9732.691388,gray,26752.07125,5461.151361,1000,1074.07,9.812436192,3,Y
6158592,56,M,1,83,44387,1,1,Rent,20148,10/19/2023,Thursday,Local,0,1,27,Phone,0,3,Medium,10883.7118,red,11807.93998,4511.907191,2000,1103.58,10.5576621,6,Y
6386688,51,M,1,65,62905.6,0,1,Rent,20122,7/17/2023,Monday,Highway,0,1,27,Phone,0,4,Medium,8691.36746,black,20342.4402,5009.360744,500,964.79,8.069645493,6,N
7153920,45,F,0,57,60889.6,0,1,Own,85006,12/31/2023,Sunday,Local,1,0,50,Phone,1,3,Medium,41194.09871,white,16502.57797,2314.389231,1000,1439.34,8.668064407,5,N
7236864,28,M,1,83,53315.2,0,1,Rent,20117,9/28/2024,Saturday,Parking Lot,0,1,97,Phone,1,3,Medium,11213.12223,red,26346.03809,4432.226653,1000,1198.15,8.929089579,2,N
7547904,55,F,1,93,64113.6,1,1,Own,80002,10/17/2024,Thursday,Local,3,0,51,Phone,1,3,Compact,32829.02668,blue,5747.298004,1882.484537,500,1398.51,8.835088933,6,Y
7568640,51,F,1,87,162891.2,1,0,Rent,85035,10/14/2024,Monday,Highway,2,0,99,Phone,1,4,Compact,31615.03599,other,28699.249,7990.167818,500,1355.08,8.550854393,4,N
7817472,41,F,0,66,29408,1,0,Rent,20163,2/24/2023,Friday,Parking Lot,0,0,99,Phone,1,7,Medium,13942.05244,gray,41405.79596,3996.453104,500,1158.03,9.701092284,5,Y
7838208,50,M,1,68,62593.6,1,1,Own,15053,6/9/2024,Sunday,Parking Lot,0,1,3,Phone,1,7,Compact,17149.64126,red,11575.14651,3043.078453,1000,1372.27,8.95681254,4,N
7900416,47,F,1,79,61592,1,1,Own,80002,7/29/2024,Monday,Parking Lot,0,0,1,Phone,1,4,Medium,28423.24271,gray,42880.44492,6387.075386,1000,1275.39,10.38860723,8,Y
8045568,49,F,0,79,82292.8,0,1,Own,85028,10/30/2024,Wednesday,Local,1,1,24,Phone,1,7,Compact,11488.23238,silver,19754.24336,6706.715266,500,1344.36,7.47937187,3,N
8211456,33,F,1,64,95934.4,1,0,Rent,20107,2/19/2024,Monday,Highway,0,0,3,Phone,0,2,Medium,12267.68033,gray,13732.00306,1971.468572,500,1203.24,7.617566343,3,N
8273664,44,M,1,89,80561.6,1,1,Own,20165,11/13/2024,Wednesday,Highway,0,0,21,Phone,1,3,Medium,49584.22238,gray,47665.79269,7193.215579,1000,1152.4,6.924367299,3,N
8335872,33,F,1,57,75953.6,1,1,Rent,20104,3/18/2023,Saturday,Parking Lot,0,0,96,Phone,1,8,Large,31494.75576,other,9692.92145,7457.212527,2000,1142.62,7.019133346,2,N
8792064,52,F,1,70,82292.8,1,1,Rent,50035,9/12/2023,Tuesday,Parking Lot,0,0,14,Phone,1,8,Compact,28494.95994,gray,34879.35173,6669.939824,500,1229.16,10.04717681,0,N
9020160,41,M,1,64,80561.6,1,0,Rent,20156,6/22/2023,Thursday,Local,2,0,20,Phone,1,3,Large,24455.90722,red,32964.01489,7713.185245,500,1706.79,10.26960072,8,N
9206784,58,M,1,86,82292.8,0,1,Own,20106,8/21/2024,Wednesday,Local,1,0,93,Phone,0,4,Large,14203.39611,silver,34878.65574,3798.774361,500,885.08,8.619270212,2,N
9248256,37,F,1,72,72593.6,1,1,Rent,15019,5/20/2024,Monday,Local,2,0,99,Phone,1,4,Large,9367.193013,black,8871.641743,8015.944434,500,1046.58,8.276694232,3,N
9455616,63,F,0,89,66300.8,1,0,Own,80109,3/3/2024,Sunday,Local,2,1,44,Phone,0,8,Medium,17901.32007,black,52692.08773,7462.860816,500,1382.88,8.167530488,3,Y
9517824,35,F,1,68,56873.6,1,1,Own,50002,12/30/2024,Monday,Local,0,1,83,Phone,0,7,Large,31524.63393,white,10721.7675,2018.040967,1000,1141.35,9.368615794,2,N
9745920,42,M,0,68,93347.2,1,0,Own,80034,3/24/2024,Sunday,Highway,0,1,2,Phone,1,3,Large,11534.5613,gray,30124.33636,2245.716441,1000,986.53,8.042216093,3,N
10305792,48,M,1,94,80561.6,0,1,Rent,85067,5/12/2024,Sunday,Parking Lot,3,0,0,Phone,1,6,Compact,25215.6433,white,17997.97862,4501.841953,500,1722.95,8.096150872,2,N
10326528,53,M,1,75,63524.8,1,0,Own,50009,2/23/2024,Friday,Local,0,0,0,Phone,0,2,Large,15287.00801,other,15750.40069,3729.623072,2000,1281.07,9.306265973,4,N
10347264,38,F,1,72,58209.6,1,0,Rent,15025,5/30/2023,Tuesday,Parking Lot,0,0,56,Phone,1,6,Large,13844.87602,gray,33318.56541,2361.170033,500,1011.92,8.195952079,6,N
10492416,46,F,1,74,61276.8,1,0,Own,80104,2/1/2023,Wednesday,Parking Lot,1,0,9,Phone,1,4,Compact,37107.88786,gray,16664.41035,5422.67774,500,1301.72,9.88013309,2,N
10679040,35,F,0,87,86892.8,1,1,Own,20156,11/23/2023,Thursday,Parking Lot,0,0,92,Phone,0,1,Large,19600.90487,gray,18686.10785,5627.615502,500,767.14,8.064835853,4,N
10803456,23,F,0,63,70152,1,1,Rent,15047,12/4/2024,Wednesday,Local,0,0,73,Phone,0,4,Large,25707.24161,silver,16029.7098,5984.304844,1000,1538.26,9.369675313,5,N
11176704,51,M,0,80,62929.6,1,0,Own,15025,3/20/2024,Wednesday,Local,0,1,2,Phone,1,8,Compact,14774.95313,red,16085.05867,2930.331295,500,1314.6,8.402431024,3,Y
11197440,52,F,0,68,63228.8,1,1,Own,80002,10/10/2024,Thursday,Highway,0,1,0,Phone,1,6,Medium,30100.26728,red,20823.61491,5670.095421,1000,1515.18,10.75748484,4,N
11840256,27,M,0,87,82292.8,1,1,Rent,85054,12/5/2024,Thursday,Highway,0,0,57,Phone,1,2,Medium,25604.80108,black,26180.26783,4214.161394,1000,2047.59,9.784155061,4,N
11860992,80,M,1,49,72593.6,0,0,Own,50032,2/12/2023,Sunday,Local,1,0,52,Phone,1,6,Compact,12946.99314,white,19294.14962,7547.316852,1000,1083.72,7.054656296,0,N
11964672,43,M,0,32,20169.6,1,1,Own,50032,9/1/2023,Friday,Local,0,0,6,Phone,0,6,Large,11544.57147,blue,28746.61543,3630.172038,2000,1371.78,9.188036472,6,Y
12047616,65,M,1,73,26795.2,0,1,Own,20144,2/24/2023,Friday,Local,0,1,22,Phone,0,6,Compact,34869.33691,black,21577.29777,7656.655706,2000,932.14,8.850708118,3,Y
12441600,39,M,0,73,58630.4,1,0,Own,15025,2/24/2024,Saturday,Parking Lot,0,0,96,Phone,1,7,Compact,16738.04241,silver,27218.24311,2248.581941,1000,773.99,9.915172704,2,N
13022208,42,M,1,57,59760,1,1,Own,50007,11/23/2024,Saturday,Highway,0,1,100,Phone,0,5,Compact,31016.35773,white,17797.18499,3165.039852,500,1459.97,8.424434192,3,Y
13167360,53,F,0,78,163536,1,0,Own,0,8/13/2024,Tuesday,Parking Lot,0,0,68,Phone,0,7,Medium,25747.59643,silver,28683.68958,3435.867014,500,865.33,7.876778029,9,N
13436928,55,M,0,86,34105.6,1,0,Own,15045,6/17/2024,Monday,Highway,0,1,69,Phone,0,2,Compact,10736.03065,blue,48844.29531,4683.967849,2000,1134.08,10.47431442,6,Y
13499136,49,F,1,62,62257.6,1,1,Own,15021,5/31/2024,Friday,Highway,0,0,14,Phone,0,6,Large,65059.67998,white,22881.72598,5041.963304,2000,1304.67,8.949300458,2,N
13561344,27,F,1,69,52723.2,1,0,Own,80024,3/24/2024,Sunday,Local,3,0,86,Phone,1,7,Compact,10073.11234,blue,19897.24191,4045.376399,2000,1035.79,8.579935193,6,N
14162688,53,M,1,92,43515.2,1,0,Own,80021,7/24/2023,Monday,Highway,0,1,76,Phone,1,3,Large,14621.55121,white,23206.44925,2961.131957,2000,694.45,10.53081735,5,Y
14660352,38,F,1,70,58177.6,1,1,Own,15001,1/4/2023,Wednesday,Local,0,0,97,Phone,0,5,Compact,9610.594669,blue,51668.90094,6294.042374,1000,1004.63,8.845165216,5,N
14722560,68,F,1,66,37552,0,1,Rent,15012,9/21/2024,Saturday,Local,1,1,97,Phone,1,7,Medium,26014.27743,white,19733.7098,2439.667767,1000,1194,9.180571971,1,Y
14743296,23,F,0,80,150181,1,0,Rent,15021,11/27/2024,Wednesday,Local,0,0,99,Phone,1,3,Compact,50337.8293,gray,32663.07309,1625.777507,1000,1248.25,8.577774108,1,N
14867712,43,F,1,88,160162,1,0,Own,85068,12/23/2024,Monday,Local,0,0,84,Phone,1,5,Compact,37125.67225,gray,33959.29759,1694.017873,500,1338.54,9.532174967,5,N
14992128,42,F,1,44,79776,1,1,Rent,15056,12/3/2024,Tuesday,Local,0,0,0,Phone,1,9,Compact,63361.03214,silver,31320.12327,4933.853885,1000,1275.81,8.8681209,1,N
15116544,52,F,1,76,63216,1,0,Own,85069,7/14/2023,Friday,Local,1,1,41,Phone,0,2,Compact,13881.85867,gray,52882.29067,3643.979917,2000,972.47,7.161016793,3,N
15199488,37,F,1,78,87776,1,1,Own,80011,4/24/2023,Monday,Local,0,0,43,Phone,1,4,Medium,38455.01501,gray,29864.72945,3659.682727,500,806.31,8.176495295,7,N
15303168,52,F,1,69,160162,0,0,Own,80013,2/18/2023,Saturday,Parking Lot,5,0,76,Phone,1,4,Medium,17243.70739,white,45190.14619,3760.108962,500,947.75,8.786623863,3,N
15323904,48,F,1,80,95941,0,0,Own,50049,4/3/2024,Wednesday,Parking Lot,1,0,86,Phone,0,6,Compact,12917.2572,blue,13553.05598,5708.055749,2000,1018.73,8.689523936,6,N
15552000,32,F,1,84,55462.4,0,1,Rent,50021,7/1/2023,Saturday,Local,0,0,90,Phone,1,4,Large,17289.21237,silver,17203.24516,5771.836303,500,915.29,9.921034324,9,Y
15780096,45,F,0,41,87776,1,1,Own,85005,6/29/2024,Saturday,Local,0,0,74,Phone,0,4,Large,24722.50125,gray,50905.8586,4486.818427,1000,1086.48,10.7964143,6,N
15925248,41,M,1,91,19408,1,0,Own,15057,12/9/2023,Saturday,Local,0,0,76,Phone,0,6,Medium,25179.98403,red,10762.97406,4584.123661,2000,765.64,8.893795219,3,Y
15987456,23,F,1,64,150181,1,0,Own,80034,9/3/2023,Sunday,Highway,0,0,36,Phone,1,3,Compact,23685.50367,gray,6219.439115,4753.01309,2000,1327.41,9.221183782,3,N
16277760,32,F,1,63,55449.6,1,0,Rent,20142,1/13/2024,Saturday,Highway,0,0,32,Phone,0,3,Large,23000.62238,silver,7117.604451,3856.532491,500,903.32,10.02134434,4,N
16588800,37,M,1,69,57795.2,0,0,Own,20109,6/7/2024,Friday,Local,0,0,58,Phone,0,3,Large,34134.5335,silver,17069.92277,8553.746771,500,889.13,8.558991673,3,N
16671744,51,M,0,73,150181,1,0,Rent,50044,6/2/2023,Friday,Parking Lot,0,0,32,Phone,1,5,Medium,8302.884838,blue,12833.60782,4101.351151,2000,995.56,10.25876605,1,N
16899840,43,M,0,65,60187.2,0,0,Rent,20107,10/23/2024,Wednesday,Parking Lot,0,0,51,Phone,0,2,Large,4842.456173,silver,9882.544104,5750.977419,500,1379.93,7.536783984,5,Y
16920576,30,F,1,89,54400,1,0,Rent,20119,6/29/2024,Saturday,Local,0,0,3,Phone,1,3,Large,20147.88261,silver,22833.77586,2272.118067,1000,1554.64,8.986190339,4,Y
16962048,54,F,1,30,163820.8,1,0,Rent,50038,10/11/2023,Wednesday,Local,1,0,24,Phone,1,4,Compact,22710.86772,red,18852.53509,3121.382598,1000,1377.94,9.434962585,3,N
17293824,48,M,1,52,150181,0,1,Rent,20152,9/25/2024,Wednesday,Local,0,0,17,Phone,0,6,Medium,15995.36838,other,19570.05302,6269.606997,500,1259.02,9.221813141,6,N
17563392,46,M,0,83,95941,1,0,Rent,50027,8/24/2024,Saturday,Local,0,0,0,Phone,1,4,Large,57172.22455,other,54261.1606,4580.849745,500,1399.27,8.470496578,2,N
17687808,55,M,1,50,160162,1,1,Own,20160,10/3/2024,Thursday,Local,0,0,52,Phone,1,2,Large,26349.40418,white,17093.35733,4793.678945,500,1365.46,7.699852647,2,N
18144000,45,F,1,82,60912,1,1,Rent,80105,3/27/2023,Monday,Local,0,1,22,Phone,1,6,Compact,12458.86467,black,11712.65549,3567.298101,2000,1595.07,9.57388254,3,N
18164736,37,M,1,87,57753.6,1,1,Own,15042,9/21/2024,Saturday,Parking Lot,0,0,90,Phone,0,5,Medium,16338.82699,other,23806.10639,5340.626994,1000,1127.89,9.37361375,3,N
18247680,40,M,0,71,59014.4,1,1,Own,85055,11/11/2024,Monday,Parking Lot,0,0,26,Phone,1,6,Medium,27967.56375,other,40563.95393,4797.526974,1000,1829.63,8.950017296,3,N
18330624,44,F,1,85,60537.6,0,1,Rent,20140,10/26/2023,Thursday,Local,2,1,16,Phone,1,8,Compact,22390.58718,red,18074.51541,8178.356479,1000,904.7,8.348900664,2,Y
18517248,26,F,0,64,62144,1,1,Own,85050,6/20/2024,Thursday,Local,1,0,0,Phone,1,2,Medium,17548.47072,white,36526.19442,2503.438089,500,1216.56,9.204012486,4,N
18579456,48,M,1,91,61924.8,1,0,Rent,50036,1/6/2024,Saturday,Local,0,1,64,Phone,1,6,Large,45536.25228,silver,37062.59236,4732.768023,2000,966.26,8.422823474,6,N
18620928,53,M,0,59,160162,0,1,Rent,85051,10/6/2024,Sunday,Highway,0,0,52,Phone,1,5,Large,27627.86559,red,17203.42597,3396.363297,500,1203.17,9.03712699,0,N
18703872,77,M,1,83,95941,1,0,Rent,80024,7/10/2024,Wednesday,Local,0,1,36,Phone,1,3,Medium,45498.18177,red,35390.50774,2293.342919,2000,1212.12,9.159244202,6,N
18952704,40,F,0,76,59024,0,0,Own,80001,12/7/2024,Saturday,Parking Lot,0,0,72,Phone,0,5,Medium,11666.58614,gray,57299.09723,3114.881097,500,1097.57,10.19611724,4,N
18994176,24,F,1,98,30833.6,0,1,Own,85073,11/25/2023,Saturday,Parking Lot,1,1,81,Phone,0,6,Compact,14976.48873,black,15994.91383,4401.706538,500,922.67,8.947221237,4,Y
19035648,43,F,0,75,80185.6,1,1,Own,85030,11/8/2023,Wednesday,Parking Lot,1,0,35,Phone,0,2,Compact,15503.9907,black,17054.73409,11319.60982,500,1195.01,7.321504282,2,N
19139328,58,F,1,80,64955.2,1,0,Own,80014,2/20/2023,Monday,Local,0,1,28,Phone,1,4,Compact,17627.16152,blue,27152.64159,11589.08094,2000,1102.29,9.082078713,6,N
19222272,49,F,0,80,62280,0,1,Rent,50003,8/10/2024,Saturday,Parking Lot,3,0,80,Phone,1,6,Compact,12712.56889,gray,18364.82224,6456.132459,500,1527.95,9.112121282,4,N
19325952,49,M,1,58,62254.4,1,1,Own,50047,11/30/2023,Thursday,Local,0,0,96,Phone,1,3,Compact,34910.40405,gray,28211.03849,3648.663049,1000,1366.39,10.24949033,4,N
19367424,43,M,1,81,160184,1,0,Own,15012,8/28/2023,Monday,Local,2,1,21,Phone,1,1,Compact,17059.55326,black,47036.35003,3451.848241,1000,1403.9,10.30976206,3,N
19450368,53,F,1,60,30833.6,0,0,Own,20148,12/21/2023,Thursday,Local,0,0,32,Phone,0,10,Large,32348.74069,other,29288.44716,4496.81883,2000,1554.86,7.763337136,9,Y
19885824,62,M,0,42,96035.2,1,0,Rent,15010,2/23/2024,Friday,Parking Lot,0,0,15,Phone,1,4,Large,23157.78558,other,10789.29226,7768.325519,2000,1724.46,8.94770139,2,N
20093184,37,F,1,83,57787.2,0,1,Own,50055,2/5/2023,Sunday,Highway,0,0,89,Phone,1,6,Compact,21344.5999,blue,26892.16878,7622.251837,2000,1241.04,9.192366601,8,N
20134656,22,F,0,86,149433.6,1,0,Rent,85051,10/26/2024,Saturday,Local,1,1,43,Phone,1,4,Large,26475.48716,blue,9013.200049,5503.953904,500,1757.21,9.735575698,7,N
20279808,63,F,1,67,166299.2,0,1,Rent,85028,6/19/2023,Monday,Local,1,1,94,Phone,1,4,Medium,32128.95358,gray,27829.58373,10465.63288,1000,802.24,9.713553156,4,N
20507904,45,F,1,71,160883.2,0,0,Own,20132,2/18/2023,Saturday,Local,0,0,10,Phone,1,2,Medium,15690.94509,silver,53232.68784,2123.455627,500,1090.03,9.319328295,5,N
20839680,43,M,1,64,60196.8,0,0,Rent,20164,2/11/2024,Sunday,Highway,0,1,78,Phone,1,7,Medium,14256.02402,white,10687.57224,966.3382059,2000,1082.72,10.10832291,5,N
20860416,29,F,0,55,93876.8,1,0,Rent,85015,1/9/2024,Tuesday,Local,0,0,3,Phone,0,5,Large,10840.19058,gray,20525.79757,6503.598195,1000,1191.8,8.863160238,5,N
21067776,53,F,1,68,93496,1,0,Own,85003,2/3/2023,Friday,Highway,0,0,73,Phone,0,5,Large,42925.0554,red,39407.10066,6560.484083,2000,1459.93,9.603453897,8,N
21275136,50,M,1,59,80833.6,0,1,Own,80021,2/5/2023,Sunday,Local,2,1,32,Phone,1,7,Compact,25435.13215,red,21765.28198,4850.013982,2000,1398.46,9.934635407,1,N
21648384,40,F,1,98,59028.8,0,0,Own,50012,4/3/2024,Wednesday,Local,0,1,92,Phone,0,6,Medium,7158.677139,black,11873.57888,1957.140937,2000,1161.91,8.741637912,5,N
21669120,50,M,1,87,62579.2,0,0,Rent,20158,2/20/2023,Monday,Local,0,0,91,Phone,0,3,Large,25263.12504,gray,10909.95856,2833.544182,1000,1117.17,7.816170914,5,N
22187520,59,M,1,81,95219.2,0,1,Rent,85046,1/9/2023,Monday,Parking Lot,3,0,100,Phone,1,4,Compact,19650.84767,blue,30113.38033,4409.993546,1000,1306.78,7.654032482,3,N
22228992,40,M,0,59,80833.6,1,1,Rent,20132,5/20/2023,Saturday,Parking Lot,0,0,53,Phone,1,6,Medium,17408.78599,blue,25028.08174,6007.476149,1000,1538.6,9.008098161,3,N
22291200,38,F,1,76,18176,1,1,Rent,15010,3/20/2023,Monday,Local,1,0,51,Phone,1,4,Large,27802.00044,gray,5550.720827,3291.487946,1000,1354.5,9.737468258,5,Y
22436352,26,M,1,44,52115.2,0,0,Rent,80010,7/10/2024,Wednesday,Local,1,1,4,Phone,1,5,Compact,62256.51619,silver,28891.32384,2121.455087,1000,1346.27,8.258377398,5,N
22477824,34,M,0,74,18176,0,1,Own,80015,6/11/2023,Sunday,Parking Lot,1,0,86,Phone,1,8,Large,12294.58633,gray,22973.22882,2515.286561,1000,949.44,8.545785264,8,Y
22519296,60,M,0,71,165488,0,1,Own,20124,6/23/2024,Sunday,Local,0,1,1,Phone,0,5,Medium,5477.839167,gray,12035.63239,2026.468383,2000,977.4,8.784291821,1,N
22685184,37,F,1,60,157792,1,0,Own,85017,3/23/2024,Saturday,Local,2,0,76,Phone,1,5,Compact,15105.36522,other,22205.70466,7527.844832,500,1187.53,8.034524615,3,N
23016960,44,F,0,84,60524.8,1,0,Rent,15012,7/1/2023,Saturday,Local,0,0,1,Phone,0,1,Medium,19930.9181,blue,5830.767085,*,500,1075.41,8.430835235,0,N
23286528,60,F,1,95,65515.2,1,1,Own,80022,8/31/2023,Thursday,Local,0,1,50,Phone,1,7,Medium,12347.37586,gray,17179.10442,4345.949974,1000,1575.86,7.696059893,5,N
23639040,38,F,1,83,58208,1,0,Own,85041,7/13/2024,Saturday,Highway,0,0,17,Phone,1,2,Medium,23832.43431,silver,17320.95006,2898.512666,1000,1056.71,9.483022976,4,N
23970816,43,F,1,73,60163.2,1,0,Rent,50049,5/4/2024,Saturday,Highway,1,1,95,Phone,1,6,Medium,28342.32657,black,42352.7102,6623.06584,1000,1313.64,7.962530736,2,N
24157440,50,M,1,69,42620.8,1,0,Own,85013,6/12/2023,Monday,Local,0,0,1,Phone,1,6,Compact,8303.065932,white,18538.4525,7762.016782,2000,1836.02,8.987906851,4,Y
24198912,45,F,0,51,60915.2,1,1,Rent,15030,10/26/2024,Saturday,Local,0,0,51,Phone,0,4,Large,35498.15663,other,38452.18138,2980.458612,2000,1453.92,7.982352401,7,N
24344064,34,M,1,69,56414.4,0,0,Own,50023,1/20/2024,Saturday,Local,0,0,77,Phone,1,4,Large,18817.55948,red,13438.92726,5540.826327,500,914.22,10.28280272,1,N
24447744,32,F,0,85,55459.2,1,1,Own,20151,7/6/2024,Saturday,Local,4,0,96,Phone,1,6,Large,22030.22505,silver,30762.88558,1755.653893,1000,1096.79,9.409756348,4,N
24530688,43,M,1,81,60171.2,0,0,Own,85077,6/8/2024,Saturday,Local,0,0,38,Phone,0,5,Large,22246.30681,black,40916.69434,4186.956952,2000,1078.22,8.220948385,4,N
24738048,46,M,1,92,61251.2,1,1,Rent,50021,3/1/2023,Wednesday,Highway,0,0,25,Phone,0,7,Compact,34263.51186,white,42173.08115,3513.617828,2000,1117.42,8.080030445,6,N
24883200,38,F,1,77,58198.4,1,1,Rent,50041,6/27/2024,Thursday,Local,3,0,79,Phone,1,3,Large,12088.7745,gray,10726.82236,5791.698363,1000,1152.12,7.554926833,5,N
